Year,region_name,Region,Number of Enrollees,Number of Schools,DepEd Budget,Budget_Enrollees,Budget_Schools,Mimaropa,National Capital Region (NCR),Region I - Ilocos,Region II - Cagayan Valley,Region III - Central Luzon,Region IVA - Calabarzon,Region IX - Zamboanga Peninsula,Region V - Bicol,Region VI - Western Visayas,Region VII - Central Visayas,Region VIII - Eastern Visayas,Region X - Nothern Mindanao,Region XI - Davao,Region XII - Soccsksargen,Region XIII - Caraga,Cluster,Cluster(Discrete),PC1,PC2,PC3
2020,Metro Manila,National Capital Region (NCR),2670620,294,38913106000,14570.81352,132357503.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2,2.004839276478946,-2.4193968296002017,2.672391684881849
2021,Metro Manila,National Capital Region (NCR),2851022,293,43902810000,15398.97272,149838942.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2,2.522139315233423,-1.798968404195629,3.340142360447151
2022,Metro Manila,National Capital Region (NCR),2498988,327,47161665000,18872.30551,144225275.2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2,2.211994781639897,-0.8646503477393964,3.2693586673672503
2023,Metro Manila,National Capital Region (NCR),2750815,331,50632571000,18406.38902,152968492.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2,2.656851561882597,-0.37108502732683907,3.656882724127829
2024,Metro Manila,National Capital Region (NCR),2207473,333,52612218000,23833.68585,157994648.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2,2.17570752996179,0.6563686147403701,4.0304870399174755
2020,Cordillera Administrative Region,Cordillera Administrative Region (CAR),436568,320,10365724000,23743.66422,32392887.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-2.481699782279068,-1.8565704899426252,-0.0716121040371531
2021,Cordillera Administrative Region,Cordillera Administrative Region (CAR),448205,323,11638385000,25966.65588,36032151.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-2.4846139964458223,-1.1534733813082332,0.21763568768600963
2022,Cordillera Administrative Region,Cordillera Administrative Region (CAR),407424,340,12193303000,29927.79758,35862655.88,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-2.65862007757393,-0.28417436251997197,0.3760378311676394
2023,Cordillera Administrative Region,Cordillera Administrative Region (CAR),416559,360,13233212000,31767.91763,36758922.22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-2.663543270340829,0.4143653715946556,0.5213013260249484
2024,Cordillera Administrative Region,Cordillera Administrative Region (CAR),305316,370,14007753000,45879.52482,37858791.89,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-3.3237767841362937,2.1413198320115203,0.8928148257982379
2020,Ilocos Region,Region I - Ilocos,1287192,566,27431162000,21310.85495,48464950.53,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.41897705194336116,-1.4045984976772614,-0.5633268601564961
2021,Ilocos Region,Region I - Ilocos,1311942,569,30195982000,23016.24767,53068509.67,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.31772554130556924,-0.7204464929987343,-0.25697988038027164
