Region,Region_name,Year,ineq_index,Ineq.Index/100 Mil,range
Region IVA - Calabarzon,Calabarzon,2024,"-85,814,602,940.94",-858.1460294,0.141853971
National Capital Region (NCR),Metro Manila,2024,"-60,756,929,575.05",-607.5692958,0.392430704
Region III - Central Luzon,Central Luzon,2024,"-51,078,358,943.35",-510.7835894,0.489216411
Region XI - Davao,Davao,2024,"-33,773,335,233.26",-337.7333523,0.662266648
Region X - Nothern Mindanao,Northern Mindanao,2024,"-28,343,082,226.09",-283.4308223,0.716569178
Region VII - Central Visayas,Central Visayas,2024,"-25,337,233,281.12",-253.3723328,0.746627667
Region VI - Western Visayas,Western Visayas,2024,"-21,150,078,598.02",-211.500786,0.788499214
Region V - Bicol,Bicol Region,2024,"-17,499,788,212.77",-174.9978821,0.825002118
Region XII - Soccsksargen,Soccsksargen,2024,"-16,415,941,464.13",-164.1594146,0.835840585
Region II - Cagayan Valley,Cagayan Valley,2024,"-15,821,148,691.44",-158.2114869,0.841788513
Region I - Ilocos,Ilocos Region,2024,"-14,303,718,644.34",-143.0371864,0.856962814
Region XIII - Caraga,Caraga,2024,"-12,694,761,934.08",-126.9476193,0.873052381
Region IX - Zamboanga Peninsula,Zamboanga Peninsula,2024,"-9,328,092,860.26",-93.2809286,0.906719071
Region VIII - Eastern Visayas,Eastern Visayas,2024,"-6,930,838,593.56",-69.30838594,0.930691614
Cordillera Administrative Region (CAR),Cordillera Administrative Region,2024,"-1,672,354,825.11",-16.72354825,0.983276452
Mimaropa,Mimaropa,2024,"234,260,287.52",2.342602875,1.002342603
