Year,region_name,Region,Number of Enrollees,Number of Schools,DepEd Budget,Budget_Enrollees,Budget_Schools
2020,Metro Manila,National Capital Region (NCR),2670620,294,38913106000,14570.81352,132357503.4
2021,Metro Manila,National Capital Region (NCR),2851022,293,43902810000,15398.97272,149838942
2022,Metro Manila,National Capital Region (NCR),2498988,327,47161665000,18872.30551,144225275.2
2023,Metro Manila,National Capital Region (NCR),2750815,331,50632571000,18406.38902,152968492.4
2024,Metro Manila,National Capital Region (NCR),2207473,333,52612218000,23833.68585,157994648.6
2020,Cordillera Administrative Region,Cordillera Administrative Region (CAR),436568,320,10365724000,23743.66422,32392887.5
2021,Cordillera Administrative Region,Cordillera Administrative Region (CAR),448205,323,11638385000,25966.65588,36032151.7
2022,Cordillera Administrative Region,Cordillera Administrative Region (CAR),407424,340,12193303000,29927.79758,35862655.88
2023,Cordillera Administrative Region,Cordillera Administrative Region (CAR),416559,360,13233212000,31767.91763,36758922.22
2024,Cordillera Administrative Region,Cordillera Administrative Region (CAR),305316,370,14007753000,45879.52482,37858791.89
2020,Ilocos Region,Region I - Ilocos,1287192,566,27431162000,21310.85495,48464950.53
2021,Ilocos Region,Region I - Ilocos,1311942,569,30195982000,23016.24767,53068509.67
2022,Ilocos Region,Region I - Ilocos,1190989,582,32158033000,27001.11672,55254352.23
2023,Ilocos Region,Region I - Ilocos,1238296,594,34434463000,27807.94172,57970476.43
2024,Ilocos Region,Region I - Ilocos,968985,611,35460425000,36595.43233,58036702.13
2020,Cagayan Valley,Region II - Cagayan Valley,914822,425,19478776000,21292.42191,45832414.12
2021,Cagayan Valley,Region II - Cagayan Valley,936533,451,21654858000,23122.36515,48015206.21
2022,Cagayan Valley,Region II - Cagayan Valley,902547,475,23274657000,25787.75067,48999277.9
2023,Cagayan Valley,Region II - Cagayan Valley,894771,493,24935533000,27868.06121,50579174.44
2024,Cagayan Valley,Region II - Cagayan Valley,805584,509,25551213000,31717.62721,50198846.76
2020,Central Luzon,Region III - Central Luzon,2833197,738,46959869000,16574.86896,63631258.81
2021,Central Luzon,Region III - Central Luzon,2974068,761,52265585000,17573.76933,68680137.98
2022,Central Luzon,Region III - Central Luzon,2687777,812,56343886000,20963.00623,69389022.17
2023,Central Luzon,Region III - Central Luzon,2948695,855,60972045000,20677.63706,71312333.33
2024,Central Luzon,Region III - Central Luzon,2216637,880,62761424000,28313.8033,71319800
