Year,region_name,Region,DAR,DA,DENR,DOF,DOH,DHSUD,DICT,DOJ,DOLE,DPWH,DOST,DSWD,DILG,DTI,DOTr,NEDA,total,Population,GRDP,agri_land,agri_volume,poverty_population
2020,Metro Manila,National Capital Region (NCR),0,6146275000,1564660000,2570604000,15078089000,50784000,32616000,3802113000,952767000,24804381000,537223000,8380583000,43978106000,454612000,464456000,197833000,1.09015E+11,13804656,5.80082E+12,0,0,302170
2021,Metro Manila,National Capital Region (NCR),0,4972408000,1589670000,2878072000,17937382000,43974000,25019000,3070526000,881109000,25892401000,767243000,10620448000,47642909000,303222000,483714000,180801000,1.17289E+11,13966223,6.1575E+12,0,0,482480
2022,Metro Manila,National Capital Region (NCR),0,6257963000,2077375000,3415465000,21040208000,52691000,31167000,4646049000,962210000,26991290000,566618000,9783323000,50069943000,393069000,503273000,186003000,1.26977E+11,14118673,6.89213E+12,0,0,482480
2023,Metro Manila,National Capital Region (NCR),0,11686403000,1910310000,3513486000,24025764000,88001000,26060000,5506955000,948031000,23373773000,738555000,9346443000,52096791000,38439000,529461000,239853000,1.34068E+11,14262006,7.57235E+12,0,0,262240
2024,Metro Manila,National Capital Region (NCR),0,10128010000,2054640000,4089024000,24492400000,88039000,22741000,6138687000,1050839000,25866374000,704350000,12530097000,56031394000,42115000,546229000,232014000,1.44017E+11,14396579,8.21431E+12,0,0,262240
2020,Cordillera Administrative Region,Cordillera Administrative Region (CAR),259934000,1393932000,945836000,211243000,1878551000,28354000,22665000,27189000,186723000,10786182000,264233000,2582859000,587097000,311631000,80989000,144164000,19711582000,1807738,2.95503E+11,343448.68,1251810.33,213830
2021,Cordillera Administrative Region,Cordillera Administrative Region (CAR),272737000,2352071000,1014048000,255362000,2273912000,17916000,25445000,29582000,197075000,15742146000,292971000,2304933000,637987000,366107000,81371000,151970000,26015633000,1822719,3.23884E+11,335688.54,1197040.88,180710
2022,Cordillera Administrative Region,Cordillera Administrative Region (CAR),257428000,2017273000,1103991000,296593000,2906678000,35407000,24929000,32047000,215842000,16489527000,279214000,2872084000,619102000,426678000,83892000,157347000,27818032000,1836857,3.66058E+11,314047.53,1063905.21,180710
2023,Cordillera Administrative Region,Cordillera Administrative Region (CAR),280055000,1956186000,1019816000,310738000,3681361000,44998000,23661000,31625000,409689000,9470227000,292333000,2464914000,649582000,172129000,79003000,171946000,21058263000,1850151,4.10562E+11,306905.32,1012291.64,129000
2024,Cordillera Administrative Region,Cordillera Administrative Region (CAR),284040000,2653582000,1039938000,343998000,3665583000,47854000,29328000,29903000,462593000,10362709000,348466000,3303188000,705989000,234513000,88266000,190998000,23790948000,1862660,4.45524E+11,301823.21,928498.6,129000
2020,Ilocos Region,Region I - Ilocos,221254000,1904943000,887724000,306162000,2726202000,0,19693000,47406000,143478000,12779123000,229702000,6443064000,695009000,359046000,147716000,138114000,27048636000,5270807,5.97917E+11,1020473.9,5200114.19,510140
2021,Ilocos Region,Region I - Ilocos,239286000,3690971000,787766000,352828000,3149552000,11951000,15071000,50827000,160464000,13262712000,307271000,6498385000,734599000,448814000,172713000,134875000,30018085000,5313223,6.44125E+11,1024362.65,5225432.52,762760
2022,Ilocos Region,Region I - Ilocos,237448000,3479960000,889266000,401531000,3668359000,22919000,13014000,50365000,171136000,16976128000,274654000,6563988000,755999000,534886000,176890000,149796000,34366339000,5353139,7.2947E+11,1025760.7,5390823.99,762760
2023,Ilocos Region,Region I - Ilocos,254489000,7037835000,843190000,426576000,4487148000,37083000,16191000,49986000,434264000,20097556000,276663000,6995818000,817089000,155226000,182359000,157049000,42268522000,5390567,8.14288E+11,1035916.02,5458585.86,641120
2024,Ilocos Region,Region I - Ilocos,266262000,6477918000,860798000,490790000,4711983000,42412000,44468000,49099000,513883000,17832530000,294675000,8450123000,926937000,155428000,192519000,183124000,41492949000,5425606,8.77319E+11,1026845.69,5387697.5,641120
2020,Cagayan Valley,Region II - Cagayan Valley,334552000,2310928000,1017001000,203543000,2462329000,0,21155000,37646000,166364000,12857679000,332683000,4268419000,615919000,377044000,104854000,123727000,25233843000,3657741,3.67331E+11,2071837.21,9218709.04,582980
2021,Cagayan Valley,Region II - Cagayan Valley,368703000,4972750000,1101396000,241789000,2819047000,11118000,33366000,41636000,173082000,13436959000,371396000,4212530000,656860000,453378000,124957000,135988000,29154955000,3693664,4.00003E+11,2127705.1,9814631.05,568320
2022,Cagayan Valley,Region II - Cagayan Valley,360229000,4796174000,1152195000,283328000,3481797000,17645000,20716000,38428000,180789000,15632188000,357975000,4837193000,645578000,524833000,123745000,151074000,32603887000,3727548,4.55677E+11,2160222.84,9990624.91,568320
2023,Cagayan Valley,Region II - Cagayan Valley,389680000,8517209000,1064956000,293579000,4300382000,39803000,18442000,38254000,536063000,17663686000,355017000,4731260000,707226000,167662000,130566000,151822000,39105607000,3759424,5.10835E+11,2181767.82,10200142.84,389640
2024,Cagayan Valley,Region II - Cagayan Valley,373463000,8441445000,1136255000,349404000,4953596000,47030000,27865000,32175000,577429000,14813678000,346833000,6473895000,890815000,174654000,138417000,170876000,38947830000,3789330,5.64165E+11,2167929.03,9968451.33,389640
