REGION,region_name,YEAR,DAR,DA,DENR,DOF,DOH,DHSUD,DICT,DOJ,DOLE,DPWH,DOST,DSWD,DILG,DTI,DOTr,NEDA,total,Population,GRDP,agri_land,agri_volume,poverty_population
1,Ilocos Region,2024,266262000.00,6477918000.00,860798000.00,490790000.00,4711983000.00,42412000.00,44468000.00,49099000.00,513883000.00,17832530000.00,294675000.00,8450123000.00,926937000.00,155428000.00,192519000.00,183124000.00,41492949000.00,5425606.00,877318738000.00,1026845.69,5387697.50,641120.00
2,Cagayan Valley,2024,373463000.00,8441445000.00,1136255000.00,349404000.00,4953596000.00,47030000.00,27865000.00,32175000.00,577429000.00,14813678000.00,346833000.00,6473895000.00,890815000.00,174654000.00,138417000.00,170876000.00,38947830000.00,3789330.00,564165184000.00,2167929.03,9968451.33,389640.00
3,Central Luzon,2024,439524000.00,9260198000.00,1475480000.00,842863000.00,6650664000.00,61578000.00,37850000.00,71871000.00,702494000.00,31562911000.00,410538000.00,10169134000.00,1123881000.00,257749000.00,339522000.00,225427000.00,63631684000.00,13069625.00,2892168121000.00,1476179.31,7985901.79,1058360.00
4,Calabarzon,2024,400978000.00,3480182000.00,1218361000.00,1337745000.00,3130214000.00,84641000.00,24695000.00,72171000.00,782566000.00,31763283000.00,334998000.00,12862902000.00,1191462000.00,218343000.00,351094000.00,246854000.00,57500489000.00,17213591.00,3723568508000.00,743585.40,3841755.82,1345400.00
5,Bicol Region,2024,745804000.00,6332959000.00,1111435000.00,443983000.00,5566378000.00,47637000.00,70567000.00,48728000.00,617845000.00,19703083000.00,325252000.00,13327386000.00,1114782000.00,213145000.00,165409000.00,215492000.00,50049885000.00,6351296.00,769941504000.00,1366193.80,5355811.48,1735690.00
6,Western Visayas,2024,944462000.00,4594508000.00,1244392000.00,704964000.00,4759846000.00,53130000.00,47836000.00,63973000.00,740526000.00,18977248000.00,354104000.00,13567707000.00,1286606000.00,175730000.00,209656000.00,227349000.00,47952037000.00,8148694.00,1271778296390.39,1657477.37,5790762.47,10574620.00
7,Central Visayas,2024,372119000.00,3109586000.00,910740000.00,562474000.00,6611704000.00,57158000.00,17712000.00,87715000.00,659993000.00,21422772000.00,353551000.00,11486590000.00,1312886000.00,256958000.00,228837000.00,192538000.00,47643333000.00,8315664.00,1822639190609.62,630836.78,1653876.61,4758700.00
8,Eastern Visayas,2024,630886000.00,4079756000.00,1331110000.00,411553000.00,2694614000.00,49154000.00,19426000.00,152042000.00,723796000.00,17483224000.00,463076000.00,10883092000.00,1172758000.00,313673000.00,172494000.00,263093000.00,40843747000.00,4987965.00,621904785000.00,911462.93,4262178.90,1342680.00
9,Zamboanga Peninsula,2024,319282000.00,3077232000.00,1080850000.00,388965000.00,3934478000.00,42820000.00,34430000.00,153200000.00,488980000.00,7561480000.00,301772000.00,11205868000.00,862061000.00,186885000.00,148144000.00,169755000.00,29956202000.00,3880826.00,582571225000.00,1118151.06,5800605.11,1221640.00
10,Northern Mindanao,2024,410236000.00,4064923000.00,1056727000.00,633353000.00,5076695000.00,54359000.00,30448000.00,42711000.00,726882000.00,16026127000.00,355509000.00,10417354000.00,958413000.00,214128000.00,166808000.00,188678000.00,40423351000.00,5228550.00,1273436870000.00,1512182.26,8386822.08,1309550.00
11,Davao,2024,395492000.00,3044665000.00,1051757000.00,585932000.00,6268092000.00,73996000.00,46948000.00,537421000.00,721007000.00,10198757000.00,282765000.00,10981320000.00,787942000.00,217622000.00,170229000.00,247855000.00,35611800000.00,5611525.00,1376650876000.00,1008781.12,5607026.82,884830.00
12,Soccsksargen,2024,577378000.00,4201784000.00,962881000.00,376861000.00,2342307000.00,55405000.00,43256000.00,24704000.00,570981000.00,7713872000.00,309180000.00,9231917000.00,652862000.00,160786000.00,151154000.00,182702000.00,27558030000.00,5162940.00,675617883000.00,1751908.78,7085711.65,1057220.00
13,Metro Manila,2024,0.00,10128010000.00,2054640000.00,4089024000.00,24492400000.00,88039000.00,22741000.00,6138687000.00,1050839000.00,25866374000.00,704350000.00,12530097000.00,56031394000.00,42115000.00,546229000.00,232014000.00,144016953000.00,14396579.00,8214308357000.00,,,262240.00
14,Cordillera Administrative Region,2024,284040000.00,2653582000.00,1039938000.00,343998000.00,3665583000.00,47854000.00,29328000.00,29903000.00,462593000.00,10362709000.00,348466000.00,3303188000.00,705989000.00,234513000.00,88266000.00,190998000.00,23790948000.00,1862660.00,445523963000.00,301823.21,928498.60,129000.00
16,Caraga,2024,352409000.00,2679100000.00,1251390000.00,441885000.00,1795189000.00,44659000.00,19721000.00,29576000.00,400604000.00,6804370000.00,282801000.00,7765872000.00,647755000.00,353509000.00,153729000.00,173429000.00,23195998000.00,2864204.00,439146876000.00,627093.11,2803361.20,589610.00
17,Mimaropa,2024,285258000.00,3511172000.00,1067102000.00,15121000.00,1292065000.00,45080000.00,14509000.00,821339000.00,413986000.00,10382618000.00,279843000.00,8201063000.00,674261000.00,179059000.00,89142000.00,186131000.00,27457749000.00,3313035.00,509501135000.00,896024.07,4577674.79,755710.00
1,Ilocos Region,2023,254489000.00,7037835000.00,843190000.00,426576000.00,4487148000.00,37083000.00,16191000.00,49986000.00,434264000.00,20097556000.00,276663000.00,6995818000.00,817089000.00,155226000.00,182359000.00,157049000.00,42268522000.00,5390567.00,814288143000.00,1035916.02,5458585.86,641120.00
2,Cagayan Valley,2023,389680000.00,8517209000.00,1064956000.00,293579000.00,4300382000.00,39803000.00,18442000.00,38254000.00,536063000.00,17663686000.00,355017000.00,4731260000.00,707226000.00,167662000.00,130566000.00,151822000.00,39105607000.00,3759424.00,510834729000.00,2181767.82,10200142.84,389640.00
3,Central Luzon,2023,428517000.00,9960916000.00,1419593000.00,733619000.00,6681709000.00,59234000.00,19287000.00,68677000.00,668621000.00,30431663000.00,440797000.00,9176861000.00,992433000.00,220711000.00,275161000.00,200994000.00,61778793000.00,12891548.00,2650681588000.00,1519498.79,8387637.88,1058360.00
4,Calabarzon,2023,420967000.00,3521714000.00,1148069000.00,920728000.00,2927856000.00,76584000.00,20678000.00,73794000.00,669010000.00,28425569000.00,403288000.00,10981798000.00,988381000.00,214734000.00,333189000.00,238686000.00,51365045000.00,16938893.00,3436079161000.00,789767.44,4245803.78,1345400.00
5,Bicol Region,2023,745701000.00,4803720000.00,1029164000.00,378196000.00,4558052000.00,44317000.00,17996000.00,51420000.00,581422000.00,20340895000.00,290186000.00,12066062000.00,930972000.00,186818000.00,360342000.00,186361000.00,46571624000.00,6301591.00,701723005000.00,1397892.53,5654182.11,1735690.00
6,Western Visayas,2023,941152000.00,2690430000.00,1027135000.00,635099000.00,3960048000.00,44469000.00,18591000.00,69331000.00,644752000.00,18757121000.00,363053000.00,11612282000.00,1071649000.00,177806000.00,196159000.00,203762000.00,42412839000.00,8092366.00,1244688483000.00,1908885.06,6670891.59,10574620.00
7,Central Visayas,2023,372094000.00,2433477000.00,877356000.00,515861000.00,6506876000.00,53319000.00,18989000.00,84963000.00,675822000.00,20181876000.00,383886000.00,9979672000.00,945758000.00,176363000.00,215321000.00,172819000.00,43594452000.00,8233965.00,1579060110000.00,648779.43,1704418.02,4758700.00
8,Eastern Visayas,2023,700074000.00,3584498000.00,1246564000.00,359009000.00,2671701000.00,39167000.00,18713000.00,152881000.00,639179000.00,19951791000.00,356615000.00,9428581000.00,947086000.00,181374000.00,313299000.00,185283000.00,40775815000.00,4926495.00,568717613000.00,943194.58,4294375.94,1342680.00
9,Zamboanga Peninsula,2023,313439000.00,2299090000.00,947892000.00,367749000.00,3545809000.00,37077000.00,52094000.00,118050000.00,418877000.00,10966138000.00,300963000.00,10097303000.00,698583000.00,151037000.00,138219000.00,148060000.00,30600380000.00,3858548.00,531738174000.00,1135153.06,5983704.87,1221640.00
10,Northern Mindanao,2023,431964000.00,3380373000.00,982674000.00,490355000.00,4657578000.00,51472000.00,35904000.00,49860000.00,784178000.00,15264372000.00,292657000.00,9577080000.00,769962000.00,216960000.00,158908000.00,166662000.00,37310959000.00,5180245.00,1180098638000.00,1515366.55,8533681.91,1309550.00
11,Davao,2023,389008000.00,2933921000.00,992385000.00,471992000.00,6395264000.00,67176000.00,14462000.00,339116000.00,589352000.00,9826605000.00,292216000.00,9259323000.00,654561000.00,180446000.00,162646000.00,176865000.00,32745338000.00,5531465.00,1255053914000.00,1001186.85,5648254.97,884830.00
12,Soccsksargen,2023,579282000.00,3044046000.00,923679000.00,301947000.00,2079052000.00,49655000.00,15424000.00,23377000.00,495377000.00,9529540000.00,285685000.00,7444730000.00,599426000.00,142458000.00,137535000.00,168975000.00,25820188000.00,5107296.00,620379069000.00,1792059.98,7359601.57,1057220.00
13,Metro Manila,2023,0.00,11686403000.00,1910310000.00,3513486000.00,24025764000.00,88001000.00,26060000.00,5506955000.00,948031000.00,23373773000.00,738555000.00,9346443000.00,52096791000.00,38439000.00,529461000.00,239853000.00,134068325000.00,14262006.00,7572347073000.00,,,262240.00
14,Cordillera Administrative Region,2023,280055000.00,1956186000.00,1019816000.00,310738000.00,3681361000.00,44998000.00,23661000.00,31625000.00,409689000.00,9470227000.00,292333000.00,2464914000.00,649582000.00,172129000.00,79003000.00,171946000.00,21058263000.00,1850151.00,410562374000.00,306905.32,1012291.64,129000.00
16,Caraga,2023,366743000.00,1814051000.00,1329119000.00,274420000.00,1599040000.00,40099000.00,16535000.00,28259000.00,360963000.00,7430522000.00,276696000.00,6647888000.00,633232000.00,153406000.00,122731000.00,152552000.00,21246256000.00,2837738.00,406454861000.00,629775.08,2707873.95,589610.00
17,Mimaropa,2023,278162000.00,3420039000.00,1057806000.00,8580000.00,1132146000.00,44686000.00,13792000.00,281248000.00,374974000.00,9654711000.00,272137000.00,6999434000.00,583095000.00,133084000.00,77539000.00,154538000.00,24485971000.00,3281249.00,472213804000.00,906687.22,4700166.78,755710.00
1,Ilocos Region,2022,237448000.00,3479960000.00,889266000.00,401531000.00,3668359000.00,22919000.00,13014000.00,50365000.00,171136000.00,16976128000.00,274654000.00,6563988000.00,755999000.00,534886000.00,176890000.00,149796000.00,34366339000.00,5353139.00,729469681000.00,1025760.70,5390823.99,762760.00
2,Cagayan Valley,2022,360229000.00,4796174000.00,1152195000.00,283328000.00,3481797000.00,17645000.00,20716000.00,38428000.00,180789000.00,15632188000.00,357975000.00,4837193000.00,645578000.00,524833000.00,123745000.00,151074000.00,32603887000.00,3727548.00,455676928000.00,2160222.84,9990624.91,568320.00
3,Central Luzon,2022,399207000.00,5578846000.00,1551795000.00,727766000.00,5209457000.00,39440000.00,22588000.00,90428000.00,331121000.00,31544744000.00,425178000.00,8935748000.00,914632000.00,743590000.00,260069000.00,191409000.00,56966018000.00,12706460.00,2367250960000.00,1551005.37,8412947.37,1430310.00
4,Calabarzon,2022,371593000.00,2341775000.00,1300275000.00,905614000.00,2212827000.00,50642000.00,17662000.00,70787000.00,302895000.00,32947811000.00,331466000.00,10349683000.00,896821000.00,755704000.00,308117000.00,203286000.00,53366958000.00,16654975.00,3140377483000.00,790427.02,4166755.72,1676350.00
5,Bicol Region,2022,696231000.00,2967876000.00,1139720000.00,344038000.00,3089759000.00,30051000.00,19310000.00,48683000.00,224492000.00,28907425000.00,294904000.00,11749195000.00,882291000.00,719176000.00,150988000.00,176298000.00,51440437000.00,6248843.00,645781755000.00,1409220.87,5960703.05,1815300.00
6,Western Visayas,2022,845786000.00,2398845000.00,1252739000.00,714012000.00,3040132000.00,29614000.00,24043000.00,69669000.00,298169000.00,16968243000.00,348116000.00,11061427000.00,922932000.00,679698000.00,179812000.00,185800000.00,39019037000.00,8033041.00,1134194218000.00,1946014.72,6823796.54,10790970.00
7,Central Visayas,2022,351513000.00,1473688000.00,1181843000.00,491451000.00,4930157000.00,39042000.00,24696000.00,79857000.00,388674000.00,20079990000.00,307530000.00,9861216000.00,912232000.00,619175000.00,193394000.00,162066000.00,41096524000.00,8147078.00,1406489640000.00,589961.96,1358757.12,4757420.00
8,Eastern Visayas,2022,622766000.00,1975887000.00,1140132000.00,336207000.00,1885785000.00,18331000.00,17543000.00,156961000.00,226799000.00,21953039000.00,282842000.00,9185819000.00,859532000.00,609471000.00,155177000.00,177310000.00,39603601000.00,4865157.00,512826609000.00,934154.54,4142587.49,1389060.00
9,Zamboanga Peninsula,2022,281499000.00,1297150000.00,977102000.00,363051000.00,2958928000.00,16568000.00,22985000.00,150633000.00,210289000.00,8733551000.00,253660000.00,10012407000.00,615847000.00,475597000.00,141089000.00,137077000.00,26647433000.00,3834801.00,490181436000.00,1119511.98,5884664.49,1145120.00
10,Northern Mindanao,2022,407781000.00,1633046000.00,1082200000.00,447028000.00,3529100000.00,39395000.00,20689000.00,48898000.00,263265000.00,15798118000.00,310177000.00,8942303000.00,714883000.00,589348000.00,147694000.00,153972000.00,34127897000.00,5128964.00,1070791029000.00,1538409.27,8428998.54,1323070.00
11,Davao,2022,348659000.00,1404062000.00,1736239000.00,465746000.00,5470914000.00,40609000.00,23158000.00,341999000.00,341915000.00,14033177000.00,316205000.00,9210793000.00,661642000.00,596930000.00,145801000.00,157251000.00,35295100000.00,5451448.00,1096004125000.00,994213.19,5644883.09,900170.00
12,Soccsksargen,2022,516384000.00,1825068000.00,946482000.00,285574000.00,1523799000.00,18259000.00,15342000.00,25111000.00,234725000.00,10258570000.00,272995000.00,7716766000.00,537058000.00,513380000.00,121631000.00,166696000.00,24977840000.00,5048327.00,564300355000.00,1787107.05,7354025.72,1276130.00
13,Metro Manila,2022,0.00,6257963000.00,2077375000.00,3415465000.00,21040208000.00,52691000.00,31167000.00,4646049000.00,962210000.00,26991290000.00,566618000.00,9783323000.00,50069943000.00,393069000.00,503273000.00,186003000.00,126976647000.00,14118673.00,6892127004000.00,,,482480.00
14,Cordillera Administrative Region,2022,257428000.00,2017273000.00,1103991000.00,296593000.00,2906678000.00,35407000.00,24929000.00,32047000.00,215842000.00,16489527000.00,279214000.00,2872084000.00,619102000.00,426678000.00,83892000.00,157347000.00,27818032000.00,1836857.00,366057851000.00,314047.53,1063905.21,180710.00
16,Caraga,2022,336498000.00,1071488000.00,1398840000.00,266049000.00,1224188000.00,16343000.00,19930000.00,27998000.00,163940000.00,7313004000.00,258942000.00,6235151000.00,602100000.00,421380000.00,112166000.00,147220000.00,19615237000.00,2810426.00,376843866000.00,609165.36,2677867.01,923520.00
17,Mimaropa,2022,261674000.00,2978863000.00,985953000.00,8136000.00,883118000.00,35648000.00,22550000.00,283839000.00,103916000.00,14192316000.00,259291000.00,6661151000.00,542193000.00,436866000.00,72080000.00,140397000.00,27867991000.00,3247680.00,453089929000.00,909702.75,4910468.14,667860.00
1,Ilocos Region,2021,239286000.00,3690971000.00,787766000.00,352828000.00,3149552000.00,11951000.00,15071000.00,50827000.00,160464000.00,13262712000.00,307271000.00,6498385000.00,734599000.00,448814000.00,172713000.00,134875000.00,30018085000.00,5313223.00,644125310000.00,1024362.65,5225432.52,762760.00
2,Cagayan Valley,2021,368703000.00,4972750000.00,1101396000.00,241789000.00,2819047000.00,11118000.00,33366000.00,41636000.00,173082000.00,13436959000.00,371396000.00,4212530000.00,656860000.00,453378000.00,124957000.00,135988000.00,29154955000.00,3693664.00,400003438000.00,2127705.10,9814631.05,568320.00
3,Central Luzon,2021,422139000.00,4718601000.00,1152627000.00,537383000.00,4163608000.00,28484000.00,43788000.00,63185000.00,321699000.00,24450239000.00,434860000.00,8540071000.00,919529000.00,631817000.00,245145000.00,185081000.00,46858256000.00,12513847.00,2062335867000.00,1603416.70,8674300.43,1430310.00
4,Calabarzon,2021,389515000.00,2371427000.00,1059209000.00,750835000.00,1998452000.00,41370000.00,18195000.00,75280000.00,304615000.00,31076606000.00,338604000.00,10527352000.00,917958000.00,590301000.00,307044000.00,193663000.00,50960426000.00,16361107.00,2785990792000.00,809525.20,4207252.21,1676350.00
5,Bicol Region,2021,707310000.00,2936260000.00,988134000.00,300029000.00,2674883000.00,21241000.00,19200000.00,50920000.00,212450000.00,23022464000.00,342741000.00,11598370000.00,900061000.00,575200000.00,154733000.00,163652000.00,44667648000.00,6192924.00,564637176000.00,1410732.70,5729698.99,1815300.00
6,Western Visayas,2021,856123000.00,2510916000.00,1192540000.00,550779000.00,2664051000.00,25627000.00,17363000.00,68431000.00,287829000.00,16051189000.00,399710000.00,10981228000.00,959112000.00,542623000.00,173344000.00,176535000.00,37457400000.00,7970551.00,937010126000.00,1957817.29,6914099.36,10790970.00
