Year,region_name,Number of Enrollees,Number of Schools,DepEd Budget,Budget_Enrollees,Budget_Schools,Region_Mimaropa,Region_National Capital Region (NCR),Region_Region I - Ilocos,Region_Region II - Cagayan Valley,Region_Region III - Central Luzon,Region_Region IVA - Calabarzon,Region_Region IX - Zamboanga Peninsula,Region_Region V - Bicol,Region_Region VI - Western Visayas,Region_Region VII - Central Visayas,Region_Region VIII - Eastern Visayas,Region_Region X - Nothern Mindanao,Region_Region XI - Davao,Region_Region XII - Soccsksargen,Region_Region XIII - Caraga,Cluster
2020,Metro Manila,2670620,294,38913106000,14570.81352,132357503.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2
2021,Metro Manila,2851022,293,43902810000,15398.97272,149838942.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2
2022,Metro Manila,2498988,327,47161665000,18872.30551,144225275.2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2
2023,Metro Manila,2750815,331,50632571000,18406.38902,152968492.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2
2024,Metro Manila,2207473,333,52612218000,23833.68585,157994648.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2
2020,Cordillera Administrative Region,436568,320,10365724000,23743.66422,32392887.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2021,Cordillera Administrative Region,448205,323,11638385000,25966.65588,36032151.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2022,Cordillera Administrative Region,407424,340,12193303000,29927.79758,35862655.88,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2023,Cordillera Administrative Region,416559,360,13233212000,31767.91763,36758922.22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2024,Cordillera Administrative Region,305316,370,14007753000,45879.52482,37858791.89,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2020,Ilocos Region,1287192,566,27431162000,21310.85495,48464950.53,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
2021,Ilocos Region,1311942,569,30195982000,23016.24767,53068509.67,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
2022,Ilocos Region,1190989,582,32158033000,27001.11672,55254352.23,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
2023,Ilocos Region,1238296,594,34434463000,27807.94172,57970476.43,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
2024,Ilocos Region,968985,611,35460425000,36595.43233,58036702.13,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
2020,Cagayan Valley,914822,425,19478776000,21292.42191,45832414.12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
2021,Cagayan Valley,936533,451,21654858000,23122.36515,48015206.21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
2022,Cagayan Valley,902547,475,23274657000,25787.75067,48999277.9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
2023,Cagayan Valley,894771,493,24935533000,27868.06121,50579174.44,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
2024,Cagayan Valley,805584,509,25551213000,31717.62721,50198846.76,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
2020,Central Luzon,2833197,738,46959869000,16574.86896,63631258.81,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
2021,Central Luzon,2974068,761,52265585000,17573.76933,68680137.98,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
2022,Central Luzon,2687777,812,56343886000,20963.00623,69389022.17,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
2023,Central Luzon,2948695,855,60972045000,20677.63706,71312333.33,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
2024,Central Luzon,2216637,880,62761424000,28313.8033,71319800.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
2020,Calabarzon,3662581,718,53312150000,14555.89651,74250905.29,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
2021,Calabarzon,3899077,741,58806282000,15082.10328,79360704.45,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
